Crop_enc,State_enc,Season_enc,Year_int,Area,Production,Yield
18,20,1,2010,2.8,0.91,325.0
18,21,0,2010,1.29,0.61,471.0
18,21,1,2010,1.25,0.58,464.0
18,22,0,2010,0.05,0.05,1102.0
18,22,1,2010,0.22,0.19,854.0
18,23,0,2010,0.01,0.01,684.0
18,23,1,2010,0.02,0.02,1034.0
18,24,0,2010,0.02,0.03,1273.0
18,24,1,2010,0.02,0.03,1948.0
18,25,1,2010,0.18,0.19,1035.0
18,26,0,2010,1.48,0.67,455.0
18,26,1,2010,1.32,0.78,592.0
18,29,1,2010,0.03,0.04,1281.0
18,30,0,2010,17.17,8.41,490.0
18,30,1,2010,0.11,0.17,1501.0
18,31,0,2010,0.03,0.03,920.0
18,31,1,2010,0.03,0.03,1192.0
18,32,0,2010,0.72,0.2,277.0
18,32,1,2010,0.46,0.16,349.0
18,33,0,2010,0.04,0.03,625.0
18,33,1,2010,0.17,0.11,688.0
18,34,0,2010,0.01,0.01,766.0
18,34,1,2010,0.02,0.02,814.0
18,35,1,2010,3.04,3.53,1161.0
18,36,0,2010,0.36,0.3,841.0
18,36,1,2010,0.11,0.11,1045.0
18,37,0,2010,0.01,0.01,649.0
18,37,1,2010,0.4,0.45,1132.0
18,0,0,2010,26.87,13.47,501.0
18,0,1,2010,18.04,12.66,702.0
33,1,1,2010,0.03,0.01,442.0
33,2,0,2010,3.98,1.45,363.0
33,2,1,2010,9.76,8.2,839.0
33,3,0,2010,0.04,0.04,879.0
33,3,1,2010,0.04,0.05,1220.0
33,4,0,2010,0.07,0.05,718.0
33,4,1,2010,1.19,0.65,545.0
33,5,0,2010,0.63,0.68,1074.0
33,5,1,2010,5.49,4.7,856.0
33,7,0,2010,2.19,0.71,325.0
33,7,1,2010,6.42,4.66,726.0
33,8,0,2010,0.03,0.03,801.0
33,8,1,2010,0.03,0.03,1000.0
33,9,1,2010,0.01,0.01,846.0
33,11,1,2010,0.07,0.08,1063.0
33,12,0,2010,6.12,4.61,753.0
33,12,1,2010,2.78,2.62,942.0
33,13,0,2010,0.59,0.44,746.0
33,13,1,2010,1.17,1.15,975.0
33,14,0,2010,0.2,0.13,636.0
33,14,1,2010,0.14,0.29,2043.0
33,15,0,2010,0.26,0.15,564.0
33,15,1,2010,0.03,0.02,765.0
33,16,0,2010,2.99,2.05,684.0
33,16,1,2010,1.27,1.25,984.0
33,17,0,2010,16.39,8.33,508.0
33,17,1,2010,11.53,7.32,635.0
33,18,0,2010,0.03,0.03,1130.0
33,20,0,2010,11.72,4.28,365.0
33,20,1,2010,39.9,29.58,741.0
33,21,0,2010,24.67,17.38,704.0
33,21,1,2010,15.71,13.62,867.0
33,22,0,2010,0.05,0.05,1102.0
33,22,1,2010,0.22,0.19,854.0
33,23,0,2010,0.02,0.01,718.0
33,23,1,2010,0.03,0.03,921.0
33,24,0,2010,0.02,0.03,1273.0
33,24,1,2010,0.02,0.03,1948.0
33,25,0,2010,0.15,0.17,1102.0
33,25,1,2010,0.19,0.19,1023.0
33,26,0,2010,5.13,2.52,491.0
33,26,1,2010,3.66,1.75,478.0
33,28,1,2010,0.03,0.01,496.0
33,29,0,2010,0.15,0.12,797.0
33,29,1,2010,0.06,0.08,1172.0
33,30,0,2010,29.16,16.04,550.0
33,30,1,2010,18.39,16.56,901.0
33,31,0,2010,0.07,0.06,891.0
33,31,1,2010,0.07,0.06,908.0
33,32,0,2010,1.75,0.82,471.0
33,32,1,2010,4.62,1.64,354.0
33,33,0,2010,5.98,2.95,492.0
33,33,1,2010,1.59,1.81,1144.0
33,34,0,2010,0.04,0.03,679.0
33,34,1,2010,0.03,0.02,740.0
33,35,0,2010,9.89,7.43,751.0
33,35,1,2010,14.6,12.94,886.0
33,36,0,2010,0.38,0.32,835.0
33,36,1,2010,0.23,0.21,877.0
33,37,0,2010,0.48,0.32,659.0
33,37,1,2010,1.48,1.44,975.0
33,0,0,2010,123.2,71.2,578.0
33,0,1,2010,140.82,111.21,790.0
31,1,0,2010,0.09,0.24,2843.0
31,1,1,2010,0.03,0.01,442.0
31,2,0,2010,23.7,44.98,1898.0
31,2,1,2010,22.16,65.55,2958.0
31,3,0,2010,1.87,3.13,1674.0
31,3,1,2010,0.14,0.21,1515.0
31,4,0,2010,22.04,39.28,1783.0
31,4,1,2010,5.63,9.48,1684.0
31,5,0,2010,30.6,34.22,1118.0
31,5,1,2010,31.76,58.0,1826.0
31,7,0,2010,41.99,64.61,1539.0
31,7,1,2010,7.56,5.95,786.0
31,8,0,2010,0.16,0.26,1637.0
31,8,1,2010,0.03,0.04,1046.0
31,9,0,2010,0.02,0.04,1609.0
31,9,1,2010,0.01,0.01,846.0
31,10,0,2010,0.14,0.32,2365.0
31,10,1,2010,0.26,1.11,4325.0
31,11,0,2010,0.31,0.72,2337.0
31,11,1,2010,0.23,0.51,2167.0
31,12,0,2010,23.83,31.16,1308.0
31,12,1,2010,21.42,52.25,2439.0
31,13,0,2010,20.47,47.56,2323.0
31,13,1,2010,26.69,118.74,4448.0
31,14,0,2010,4.02,8.18,2037.0
31,14,1,2010,3.94,6.03,1532.0
31,15,0,2010,6.21,10.64,1713.0
31,15,1,2010,3.07,4.57,1490.0
31,16,0,2010,12.61,15.76,1250.0
31,16,1,2010,2.32,3.0,1296.0
31,17,0,2010,51.91,100.88,1943.0
31,17,1,2010,30.48,37.89,1243.0
31,18,0,2010,1.67,3.9,2329.0
31,18,1,2010,0.52,1.37,2627.0
31,20,0,2010,44.52,42.61,957.0
31,20,1,2010,84.11,106.91,1271.0
31,21,0,2010,69.29,92.07,1329.0
31,21,1,2010,61.0,62.13,1019.0
31,22,0,2010,2.4,5.68,2371.0
31,22,1,2010,0.24,0.24,996.0
31,23,0,2010,1.17,1.88,1616.0
31,23,1,2010,0.16,0.51,3163.0
31,24,0,2010,0.52,0.63,1223.0
31,24,1,2010,0.02,0.03,1902.0
31,25,0,2010,2.76,5.43,1965.0
31,25,1,2010,0.23,0.25,1129.0
31,26,0,2010,46.52,65.6,1410.0
31,26,1,2010,6.67,10.59,1588.0
31,28,0,2010,0.15,0.39,2557.0
31,28,1,2010,0.07,0.14,1920.0
31,29,0,2010,29.82,113.43,3804.0
31,29,1,2010,35.28,165.24,4683.0
31,30,0,2010,104.23,90.07,864.0
31,30,1,2010,46.46,98.25,2115.0
31,31,0,2010,0.66,1.01,1522.0
31,31,1,2010,0.1,0.09,941.0
31,32,0,2010,23.99,62.31,2598.0
31,32,1,2010,7.75,13.64,1759.0
